0.4189,0.3919,0.3514,0.3243,0.2568,0.3378,0.3243,0.4189,0.1892,0.0662,0.0,0.0627,0.1622,0.1622,0.1892,0.3108,0.3243,0.4054,0.473,0.4324,0.5135,0.5405,0.4865,0.7838,0.8649,0.3514,0.6351,0.6892,0.7297,0.6216,0.5676,0.5541,0.5135,0.7297,0.8108,1.0
0.4321,0.4074,0.3704,0.358,0.3086,0.358,0.3457,0.4321,0.2346,0.1119,0.0573,0.0,0.0938,0.0835,0.1157,0.2222,0.2346,0.3086,0.3704,0.3333,0.4074,0.4444,0.3827,0.6667,0.7407,0.3704,0.5185,0.679,0.7284,0.6173,0.5679,0.5679,0.5185,0.716,0.7901,1.0
0.5455,0.5325,0.4935,0.7013,0.4545,0.5065,0.4675,0.5584,0.3377,0.2208,0.1558,0.0987,0.0,0.0352,0.0722,0.1818,0.1948,0.2727,0.3377,0.2987,0.3766,0.4156,0.3506,0.6494,0.7273,0.4935,0.4935,0.7403,0.8442,0.7403,0.6494,0.6494,0.6104,0.8571,0.9221,1.0
0.56,0.5333,0.4933,0.4933,0.4533,0.5067,0.4667,0.56,0.3333,0.2133,0.16,0.0901,0.0361,0.0,0.0411,0.16,0.1733,0.2533,0.32,0.28,0.36,0.3867,0.32,0.6267,0.7067,0.4933,0.48,0.7333,0.8267,0.7467,0.6533,0.6533,0.6533,0.84,0.9067,1.0
0.6111,0.5833,0.5556,0.5556,0.5,0.5556,0.5278,0.625,0.3889,0.25,0.1944,0.1301,0.0772,0.0428,0.0,0.121,0.1358,0.2222,0.2917,0.25,0.3333,0.3611,0.3056,0.6111,0.6944,0.5556,0.4444,0.7222,0.8194,0.7917,0.7222,0.7222,0.6667,0.8333,0.9167,1.0
1.0,0.7576,0.7121,0.6818,0.6212,0.697,0.697,0.803,0.5455,0.4091,0.3485,0.2727,0.2121,0.1818,0.132,0.0,0.0311,0.1515,0.197,0.1515,0.2424,0.2576,0.2121,0.5455,0.6364,0.7273,0.3485,0.6515,0.7727,0.7424,0.5909,0.8485,0.8636,0.7879,0.8636,0.9545
0.9848,1.0,0.7273,0.697,0.6515,0.7121,0.7121,0.8182,0.5758,0.4242,0.3636,0.2879,0.2273,0.197,0.1482,0.0311,0.0,0.1667,0.1667,0.1258,0.2121,0.2424,0.1818,0.5303,0.6212,0.7424,0.3485,0.6364,0.7576,0.7273,0.5909,0.8333,0.8939,0.7727,0.8485,0.9394
1.0,0.9294,0.6471,0.6118,0.5765,0.6235,0.6353,0.7059,0.5176,0.4,0.3529,0.2941,0.2471,0.2235,0.1882,0.1176,0.1294,0.0,0.2588,0.2235,0.2941,0.3294,0.2706,0.5412,0.6118,0.6588,0.4118,0.6235,0.7176,0.6941,0.8,0.7765,0.7529,0.7294,0.7882,0.8588
0.863,0.7534,0.8493,1.0,0.7534,0.8219,0.7945,0.8904,0.6712,0.5342,0.4795,0.411,0.3562,0.3288,0.2877,0.1781,0.1507,0.3014,0.0,0.0634,0.137,0.1781,0.1134,0.4247,0.5068,0.8493,0.3151,0.5205,0.6301,0.6027,0.4795,0.6986,0.5068,0.6438,0.7123,0.7945
0.8507,0.806,0.9104,1.0,0.7612,0.8209,0.8358,0.7015,0.6866,0.5373,0.4776,0.403,0.3433,0.3134,0.2687,0.1493,0.1239,0.2836,0.0691,0.0,0.087,0.121,0.0542,0.3881,0.4776,0.8507,0.2687,0.5075,0.6119,0.5821,0.4627,0.4776,0.4925,0.6269,0.7164,0.806
